City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
348,Kodiak,US,57.79,-152.41,57.2,82,90,3.47,light rain
349,Baneh,IR,36.0,45.89,57.56,52,0,3.47,clear sky
350,Azul,AR,-36.78,-59.86,64.99,33,0,5.99,clear sky
351,Bima,ID,-8.47,118.72,71.26,83,97,2.24,overcast clouds
352,Umarkot,PK,25.36,69.74,84.69,64,100,18.05,overcast clouds
353,Port Macquarie,AU,-31.43,152.92,46.99,59,0,11.99,clear sky
354,Manzil Kamil,TN,35.62,10.67,91.0,70,0,13.87,clear sky
355,Severo-Yeniseyskiy,RU,60.37,93.04,48.07,95,17,2.86,few clouds
356,Klyuchi,RU,52.27,79.17,62.44,56,81,3.11,broken clouds
357,Jesup,US,31.61,-81.89,86.0,66,75,8.05,broken clouds
358,La Seyne-Sur-Mer,FR,43.1,5.88,81.0,34,0,8.99,clear sky
359,Pontes E Lacerda,BR,-15.23,-59.34,96.19,21,0,4.83,clear sky
360,Udachnyy,RU,66.42,112.4,48.2,66,1,6.71,clear sky
361,Lufilufi,WS,-13.87,-171.6,73.4,94,20,3.36,few clouds
